title,rate,casts,genres,directors,movie_id,year
美人鱼,6.8,邓超/罗志祥/张雨绮,喜剧/爱情/奇幻,周星驰,19944106,2016
大话西游之大圣娶亲,9.2,周星驰/吴孟达/朱茵,喜剧/爱情/奇幻,刘镇伟,1292213,1995
喜剧之王,8.5,周星驰/张柏芝/莫文蔚,喜剧/剧情/爱情,周星驰/李力持,1302425,1999
大话西游之月光宝盒,8.9,周星驰/吴孟达/罗家英,喜剧/动作/爱情,刘镇伟,1299398,1995
西游降魔篇,7.1,文章/舒淇/黄渤,喜剧/奇幻/冒险,周星驰/郭子健,5308265,2013
功夫,7.9,周星驰/元秋/元华,动作/喜剧/犯罪,周星驰,1291543,2004
国产凌凌漆,8.1,周星驰/袁咏仪/罗家英,动作/喜剧,李力持/周星驰,1307739,1994
食神,7.8,周星驰/莫文蔚/刘以达,动作/喜剧,李力持/周星驰,1293351,1996
唐伯虎点秋香,8.4,周星驰/巩俐/陈百祥,喜剧/爱情/古装,李力持,1306249,1993
破坏之王,7.3,周星驰/吴孟达/钟丽缇,喜剧/动作,李力持,1299745,1994
九品芝麻官,8.2,周星驰/吴孟达/张敏,喜剧,王晶,1297518,1994
大内密探零零发,7.6,周星驰/刘嘉玲/李若彤,喜剧/剧情/动作,谷德昭/周星驰,1329936,1996
回魂夜,7.7,周星驰/莫文蔚/梁家仁,喜剧/奇幻/恐怖,刘镇伟,1299765,1995
鹿鼎记,7.8,周星驰/吴孟达/张敏,喜剧/动作/古装,王晶,1297223,1992
少林足球,7.4,周星驰/赵薇/吴孟达,动作/喜剧/运动,周星驰,1297747,2001
逃学威龙,7.5,周星驰/张敏/吴孟达,喜剧/动作/爱情,陈嘉上,1302090,1991
武状元苏乞儿,7.4,周星驰/张敏/吴孟达,喜剧/动作/古装,陈嘉上,1297863,1992
家有喜事,8.1,张国荣/周星驰/张曼玉,剧情/喜剧/爱情,高志森,1300064,1992
千王之王2000,6.7,周星驰/张家辉/吴君如,喜剧,王晶,1304677,1999
赌侠2：上海滩赌圣,7.2,周星驰/巩俐/吕良伟,喜剧/奇幻,王晶,1302977,1991
长江七号,6.3,周星驰/徐娇/张雨绮,喜剧/科幻,周星驰,1961963,2008
赌侠,7.4,刘德华/周星驰/向华强,剧情/喜剧,王晶,1300566,1990
